ID,URL,Phrase,HasPhrase,Negated,HandsVisible,HandsFree,SpeakerName,Duplicated,ExtraMod,HandsMoving,WhichHand,HandConfig,HandSpecific,HorizontalMovement,HandGap,OfInterest,Comments
2726,https://archive.org/download/WTKR_20160129_093000_CBS_Morning_News/WTKR_20160129_093000_CBS_Morning_News.mp4?t=283/353&ignore=x.mp4,small_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
370,https://archive.org/download/WMPT_20100930_163000_Charlie_Rose/WMPT_20100930_163000_Charlie_Rose.mp4?t=55/125&ignore=x.mp4,small_number,yes,no,one,one,tung chee-hwa,no,no,yes,R,open,in,NA,NA,no,NA
7,https://archive.org/download/CSPAN3_20120401_180000/CSPAN3_20120401_180000.mp4?t=133/203&ignore=x.mp4,small_number,yes,no,both,both,joan cashin,no,no,yes,both,open,down,neither,torso_less,no,NA
3100,https://archive.org/download/KLAS_20160107_013000_CBS_Evening_News_With_Scott_Pelley/KLAS_20160107_013000_CBS_Evening_News_With_Scott_Pelley.mp4?t=384/454&ignore=x.mp4,small_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
2005,https://archive.org/download/SFGTV_20110717_100000/SFGTV_20110717_100000.mp4?t=1418/1488&ignore=x.mp4,large_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
1613,https://archive.org/download/SFGTV_20111126_180000/SFGTV_20111126_180000.mp4?t=591/661&ignore=x.mp4,large_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
1128,https://archive.org/download/KCSM_20131019_000000_RT_News/KCSM_20131019_000000_RT_News.mp4?t=1406/1476&ignore=x.mp4,tiny_number,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
2716,http://archive.org/download/CSPAN_20120826_140000_Newsmakers/CSPAN_20120826_140000_Newsmakers.mp4?t=930/960&ignore=x.mp4,huge_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
2110,https://archive.org/download/BBCNEWS_20200330_214500_The_Papers/BBCNEWS_20200330_214500_The_Papers.mp4?t=516/586&ignore=x.mp4,large_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
2058,http://ia601007.us.archive.org/0/items/KTVU_20131011_050000_Ten_OClock_News/KTVU_20131011_050000_Ten_OClock_News.mp4?start=1851&end=1881&ignore=x.mp4,tiny_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
1896,http://archive.org/download/CNNW_20120609_030000_Erin_Burnett_OutFront/CNNW_20120609_030000_Erin_Burnett_OutFront.mp4?t=804/834&ignore=x.mp4,huge_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
577,https://archive.org/download/CSPAN3_20150818_175900_Technology_and_the_Workforce_Panel_2/CSPAN3_20150818_175900_Technology_and_the_Workforce_Panel_2.mp4?t=701/771&ignore=x.mp4,small_number,yes,no,both,both,david autor,no,no,yes,both,open/closed,in/pinch,in/out,head_less,yes,NA
247,https://archive.org/download/RT_20100816_170028/RT_20100816_170028.mp4?t=785/855&ignore=x.mp4,huge_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
2045,https://archive.org/download/SFGTV_20111220_110100/SFGTV_20111220_110100.mp4?t=344/414&ignore=x.mp4,small_number,yes,no,both,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
2293,https://archive.org/download/SFGTV_20110305_180000/SFGTV_20110305_180000.mp4?t=958/1028&ignore=x.mp4,large_number,yes,no,one,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
3029,http://archive.org/download/MSNBCW_20121009_160000_NOW_With_Alex_Wagner/MSNBCW_20121009_160000_NOW_With_Alex_Wagner.mp4?t=1156/1186&ignore=x.mp4,tiny_number,yes,no,both,both,rana foroohar,no,no,yes,both,open,up,in,head_less,no,difficult to discern
